,model,seed,columns,params,cost,anticipation,detected_faults,missed_faults,false_alarms
0,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",598.3999999999991,0.9,8,0,2992
1,conv_nn,1000,all_features,"{'filters': 4, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",168.59999999999923,0.775,8,0,748
2,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [32], 'w_len': 5}",687.0000000000192,0.9,8,0,3435
3,conv_nn,1000,all_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [32], 'w_len': 5}",147.20000000000059,0.7125,8,0,486
4,conv_nn,1000,all_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 5}",141.40000000000055,0.6,8,0,292
5,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [32], 'w_len': 10}",523.5999999999821,0.9,8,0,2618
6,conv_nn,1000,all_features,"{'filters': 4, 'kernel_size': 3, 'hidden': [32], 'w_len': 10}",187.79999999999893,0.5714285714285714,7,1,269
7,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [32], 'w_len': 10}",519.799999999982,0.8,8,0,2494
8,conv_nn,1000,all_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [32], 'w_len': 10}",118.60000000000103,0.8,8,0,518
9,conv_nn,1000,all_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 10}",173.3999999999989,0.75,8,0,727
10,conv_nn,1000,all_features,"{'filters': 4, 'kernel_size': 7, 'hidden': [128, 64, 32], 'w_len': 10}",187.59999999999962,0.6666666666666667,6,2,203
11,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [64, 32], 'w_len': 5}",169.9999999999989,0.8,8,0,775
12,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 5}",700.4000000000223,0.9,8,0,3502
13,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [64, 32], 'w_len': 10}",537.9999999999853,0.9,8,0,2690
14,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 10}",440.2,0.0,0,8,1
15,conv_nn,1000,w5_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",602.6000000000005,0.8375,8,0,2978
16,conv_nn,1000,w5_features,"{'filters': 4, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",179.60000000000062,0.65,8,0,568
17,conv_nn,1000,w5_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [32], 'w_len': 5}",700.4000000000221,0.875,8,0,3492
18,conv_nn,1000,w5_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [32], 'w_len': 5}",113.60000000000103,0.8375,8,0,533
19,conv_nn,1000,w5_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 5}",155.2000000000005,0.7875,8,0,671
20,conv_nn,1000,w5_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [32], 'w_len': 10}",440.2,0.0,0,8,1
21,conv_nn,1000,w5_features,"{'filters': 4, 'kernel_size': 3, 'hidden': [32], 'w_len': 10}",50.000000000000064,0.8125,8,0,200
22,conv_nn,1000,w5_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [32], 'w_len': 10}",562.5999999999932,0.7375,8,0,2618
23,conv_nn,1000,w5_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [32], 'w_len': 10}",110.40000000000086,0.7625,8,0,457
24,conv_nn,1000,w5_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 10}",170.8000000000003,0.5428571428571429,7,1,164
25,conv_nn,1000,w5_features,"{'filters': 4, 'kernel_size': 7, 'hidden': [128, 64, 32], 'w_len': 10}",145.39999999999984,0.75,8,0,562
26,conv_nn,1000,w5_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [64, 32], 'w_len': 5}",148.20000000000056,0.6375,8,0,436
27,conv_nn,1000,w5_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 5}",711.6000000000247,0.875,8,0,3548
28,conv_nn,1000,w5_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [64, 32], 'w_len': 10}",207.59999999999704,0.6375,8,0,703
29,conv_nn,1000,w5_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 10}",549.1999999999905,0.725,8,0,2521
30,conv_nn,1000,w10_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",580.1999999999953,0.8625,8,0,2871
31,conv_nn,1000,w10_features,"{'filters': 4, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",75.20000000000053,0.85,8,0,351
32,conv_nn,1000,w10_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [32], 'w_len': 5}",713.8000000000253,0.9,8,0,3569
33,conv_nn,1000,w10_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [32], 'w_len': 5}",290.3999999999923,0.825,8,0,1412
34,conv_nn,1000,w10_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 5}",142.60000000000056,0.6625,8,0,473
35,conv_nn,1000,w10_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [32], 'w_len': 10}",440.2,0.0,0,8,1
36,conv_nn,1000,w10_features,"{'filters': 4, 'kernel_size': 3, 'hidden': [32], 'w_len': 10}",135.00000000000043,0.725,8,0,470
37,conv_nn,1000,w10_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [32], 'w_len': 10}",598.4000000000003,0.825,8,0,2887
38,conv_nn,1000,w10_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [32], 'w_len': 10}",223.5999999999955,0.7125,8,0,883
39,conv_nn,1000,w10_features,"{'filters': 4, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 10}",165.00000000000028,0.5285714285714286,7,1,115
40,conv_nn,1000,w10_features,"{'filters': 4, 'kernel_size': 7, 'hidden': [128, 64, 32], 'w_len': 10}",165.39999999999986,0.5714285714285714,7,1,217
41,conv_nn,1000,w10_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [64, 32], 'w_len': 5}",523.7999999999824,0.8625,8,0,2589
42,conv_nn,1000,w10_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 5}",730.8000000000292,0.9,8,0,3654
43,conv_nn,1000,w10_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [64, 32], 'w_len': 10}",539.3999999999877,0.8,8,0,2517
44,conv_nn,1000,w10_features,"{'filters': 1, 'kernel_size': 5, 'hidden': [64, 32], 'w_len': 10}",588.199999999998,0.825,8,0,2836
45,conv_nn,1000,w15_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",663.2000000000141,0.8625,8,0,3286
46,conv_nn,1000,w15_features,"{'filters': 4, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",117.40000000000107,0.85,8,0,562
