,model,seed,columns,params,cost,anticipation,detected_faults,missed_faults,false_alarms
0,mlp,1000,w5_features,{'hidden_mlp': [32]},76.00000000000006,0.8666666666666666,6,1,115
1,mlp,1000,w5_features,"{'hidden_mlp': [64, 32]}",111.20000000000026,0.8166666666666667,6,1,186
2,mlp,1000,w5_features,"{'hidden_mlp': [128, 64, 32]}",128.40000000000015,0.86,5,2,177
3,mlp,1100,w5_features,{'hidden_mlp': [32]},85.20000000000013,0.8666666666666666,6,1,161
4,mlp,1100,w5_features,"{'hidden_mlp': [64, 32]}",91.60000000000024,0.8666666666666666,6,1,193
5,mlp,1100,w5_features,"{'hidden_mlp': [128, 64, 32]}",97.60000000000032,0.8666666666666666,6,1,223
6,mlp,1200,w5_features,{'hidden_mlp': [32]},87.00000000000016,0.8666666666666666,6,1,170
7,mlp,1200,w5_features,"{'hidden_mlp': [64, 32]}",106.00000000000045,0.8666666666666666,6,1,265
8,mlp,1200,w5_features,"{'hidden_mlp': [128, 64, 32]}",152.99999999999937,0.8,6,1,350
9,mlp,1300,w5_features,{'hidden_mlp': [32]},97.60000000000028,0.85,6,1,193
10,mlp,1300,w5_features,"{'hidden_mlp': [64, 32]}",123.60000000000123,0.8857142857142858,7,0,588
11,mlp,1300,w5_features,"{'hidden_mlp': [128, 64, 32]}",90.60000000000032,0.8,7,0,218
12,mlp,1400,w5_features,{'hidden_mlp': [32]},82.80000000000011,0.8666666666666666,6,1,149
13,mlp,1400,w5_features,"{'hidden_mlp': [64, 32]}",100.6000000000003,0.85,6,1,208
14,mlp,1400,w5_features,"{'hidden_mlp': [128, 64, 32]}",104.40000000000023,0.8333333333333334,6,1,192
15,mlp,1500,w5_features,{'hidden_mlp': [32]},94.60000000000028,0.8666666666666666,6,1,208
16,mlp,1500,w5_features,"{'hidden_mlp': [64, 32]}",140.19999999999985,0.78,5,2,86
17,mlp,1500,w5_features,"{'hidden_mlp': [128, 64, 32]}",138.99999999999974,0.7833333333333333,6,1,260
18,mlp,1600,w5_features,{'hidden_mlp': [32]},79.80000000000007,0.8666666666666666,6,1,134
19,mlp,1600,w5_features,"{'hidden_mlp': [64, 32]}",115.40000000000057,0.8666666666666666,6,1,312
20,mlp,1600,w5_features,"{'hidden_mlp': [128, 64, 32]}",133.19999999999987,0.86,5,2,201
21,mlp,1700,w5_features,{'hidden_mlp': [32]},95.8000000000003,0.8666666666666666,6,1,214
22,mlp,1700,w5_features,"{'hidden_mlp': [64, 32]}",103.4000000000004,0.8666666666666666,6,1,252
23,mlp,1700,w5_features,"{'hidden_mlp': [128, 64, 32]}",127.40000000000056,0.8333333333333334,6,1,307
24,mlp,1800,w5_features,{'hidden_mlp': [32]},87.00000000000018,0.85,6,1,140
25,mlp,1800,w5_features,"{'hidden_mlp': [64, 32]}",90.20000000000023,0.85,6,1,156
26,mlp,1800,w5_features,"{'hidden_mlp': [128, 64, 32]}",123.40000000000039,0.8166666666666667,6,1,247
27,mlp,1900,w5_features,{'hidden_mlp': [32]},99.00000000000034,0.8666666666666666,6,1,230
28,mlp,1900,w5_features,"{'hidden_mlp': [64, 32]}",91.20000000000023,0.8666666666666666,6,1,191
29,mlp,1900,w5_features,"{'hidden_mlp': [128, 64, 32]}",136.1999999999998,0.8,5,2,111
30,mlp,2000,w5_features,{'hidden_mlp': [32]},86.20000000000016,0.8666666666666666,6,1,166
31,mlp,2000,w5_features,"{'hidden_mlp': [64, 32]}",91.80000000000024,0.8666666666666666,6,1,194
32,mlp,2000,w5_features,"{'hidden_mlp': [128, 64, 32]}",131.00000000000028,0.8166666666666667,6,1,285
33,mlp,2100,w5_features,{'hidden_mlp': [32]},86.80000000000015,0.9,6,1,234
34,mlp,2100,w5_features,"{'hidden_mlp': [64, 32]}",112.0000000000001,0.8,6,1,145
35,mlp,2100,w5_features,"{'hidden_mlp': [128, 64, 32]}",143.7999999999998,0.8,5,2,149
36,mlp,2200,w5_features,{'hidden_mlp': [32]},91.80000000000024,0.8666666666666666,6,1,194
37,mlp,2200,w5_features,"{'hidden_mlp': [64, 32]}",89.6000000000002,0.8666666666666666,6,1,183
38,mlp,2200,w5_features,"{'hidden_mlp': [128, 64, 32]}",124.60000000000053,0.8333333333333334,6,1,293
39,mlp,2300,w5_features,{'hidden_mlp': [32]},100.60000000000028,0.85,6,1,208
40,mlp,2300,w5_features,"{'hidden_mlp': [64, 32]}",117.60000000000032,0.8166666666666667,6,1,218
41,mlp,2300,w5_features,"{'hidden_mlp': [128, 64, 32]}",132.19999999999982,0.8,5,2,91
42,mlp,2400,w5_features,{'hidden_mlp': [32]},94.60000000000024,0.85,6,1,178
43,mlp,2400,w5_features,"{'hidden_mlp': [64, 32]}",95.40000000000029,0.85,6,1,182
44,mlp,2400,w5_features,"{'hidden_mlp': [128, 64, 32]}",121.00000000000047,0.8333333333333334,6,1,275
45,mlp,2500,w5_features,{'hidden_mlp': [32]},95.60000000000014,0.8166666666666667,6,1,108
46,mlp,2500,w5_features,"{'hidden_mlp': [64, 32]}",111.40000000000053,0.8666666666666666,6,1,292
47,mlp,2500,w5_features,"{'hidden_mlp': [128, 64, 32]}",134.2,0.78,5,2,56
48,mlp,2600,w5_features,{'hidden_mlp': [32]},98.60000000000034,0.8666666666666666,6,1,228
49,mlp,2600,w5_features,"{'hidden_mlp': [64, 32]}",140.3999999999998,0.78,5,2,87
50,mlp,2600,w5_features,"{'hidden_mlp': [128, 64, 32]}",143.79999999999978,0.78,5,2,104
51,mlp,2700,w5_features,{'hidden_mlp': [32]},97.80000000000017,0.8166666666666667,6,1,119
52,mlp,2700,w5_features,"{'hidden_mlp': [64, 32]}",86.40000000000018,0.85,6,1,137
53,mlp,2700,w5_features,"{'hidden_mlp': [128, 64, 32]}",136.79999999999967,0.86,5,2,219
54,mlp,2800,w5_features,{'hidden_mlp': [32]},98.80000000000034,0.8666666666666666,6,1,229
55,mlp,2800,w5_features,"{'hidden_mlp': [64, 32]}",95.40000000000029,0.8666666666666666,6,1,212
56,mlp,2800,w5_features,"{'hidden_mlp': [128, 64, 32]}",131.99999999999983,0.8,5,2,90
57,mlp,2900,w5_features,{'hidden_mlp': [32]},91.00000000000021,0.8666666666666666,6,1,190
58,mlp,2900,w5_features,"{'hidden_mlp': [64, 32]}",103.80000000000034,0.85,6,1,224
59,mlp,2900,w5_features,"{'hidden_mlp': [128, 64, 32]}",138.5999999999998,0.8,5,2,123
60,conv_nn,1000,all_features,"{'filters': 1, 'kernel_size': 3, 'hidden': [32], 'w_len': 5}",675.4000000000188,0.9,6,1,3177
