,model,seed,columns,params,cost,anticipation,detected_faults,missed_faults,false_alarms
0,mlp,1000,w5_features,{'hidden_mlp': [32]},20.2,0.35,6,1,6
1,mlp,1000,w5_features,"{'hidden_mlp': [64, 32]}",22.0,0.36666666666666664,6,1,20
2,mlp,1000,w5_features,"{'hidden_mlp': [128, 64, 32]}",21.799999999999994,0.38333333333333336,6,1,29
3,mlp,1100,w5_features,{'hidden_mlp': [32]},18.4,0.38333333333333336,6,1,12
4,mlp,1100,w5_features,"{'hidden_mlp': [64, 32]}",19.199999999999996,0.38333333333333336,6,1,16
5,mlp,1100,w5_features,"{'hidden_mlp': [128, 64, 32]}",18.999999999999996,0.36666666666666664,6,1,10
6,mlp,1200,w5_features,{'hidden_mlp': [32]},17.8,0.36666666666666664,6,1,4
7,mlp,1200,w5_features,"{'hidden_mlp': [64, 32]}",19.799999999999994,0.38333333333333336,6,1,19
8,mlp,1200,w5_features,"{'hidden_mlp': [128, 64, 32]}",18.999999999999996,0.38333333333333336,6,1,15
9,mlp,1300,w5_features,{'hidden_mlp': [32]},18.599999999999998,0.38333333333333336,6,1,13
10,mlp,1300,w5_features,"{'hidden_mlp': [64, 32]}",17.4,0.38333333333333336,6,1,7
11,mlp,1300,w5_features,"{'hidden_mlp': [128, 64, 32]}",20.39999999999999,0.38333333333333336,6,1,22
12,mlp,1400,w5_features,{'hidden_mlp': [32]},20.799999999999994,0.38333333333333336,6,1,24
13,mlp,1400,w5_features,"{'hidden_mlp': [64, 32]}",23.599999999999998,0.33333333333333337,6,1,8
14,mlp,1400,w5_features,"{'hidden_mlp': [128, 64, 32]}",20.199999999999996,0.38333333333333336,6,1,21
15,mlp,1500,w5_features,{'hidden_mlp': [32]},19.2,0.38333333333333336,6,1,16
16,mlp,1500,w5_features,"{'hidden_mlp': [64, 32]}",19.999999999999996,0.38333333333333336,6,1,20
17,mlp,1500,w5_features,"{'hidden_mlp': [128, 64, 32]}",19.59999999999999,0.38333333333333336,6,1,18
18,mlp,1600,w5_features,{'hidden_mlp': [32]},17.0,0.38333333333333336,6,1,5
19,mlp,1600,w5_features,"{'hidden_mlp': [64, 32]}",21.399999999999995,0.36666666666666664,6,1,22
20,mlp,1600,w5_features,"{'hidden_mlp': [128, 64, 32]}",18.999999999999993,0.38333333333333336,6,1,15
21,mlp,1700,w5_features,{'hidden_mlp': [32]},17.599999999999998,0.36666666666666664,6,1,3
22,mlp,1700,w5_features,"{'hidden_mlp': [64, 32]}",22.999999999999993,0.36666666666666664,6,1,25
23,mlp,1700,w5_features,"{'hidden_mlp': [128, 64, 32]}",23.19999999999999,0.38333333333333336,6,1,36
24,mlp,1800,w5_features,{'hidden_mlp': [32]},19.599999999999998,0.36666666666666664,6,1,8
25,mlp,1800,w5_features,"{'hidden_mlp': [64, 32]}",18.999999999999993,0.38333333333333336,6,1,15
26,mlp,1800,w5_features,"{'hidden_mlp': [128, 64, 32]}",19.199999999999996,0.38333333333333336,6,1,16
27,mlp,1900,w5_features,{'hidden_mlp': [32]},19.599999999999994,0.38333333333333336,6,1,18
28,mlp,1900,w5_features,"{'hidden_mlp': [64, 32]}",23.0,0.33333333333333337,6,1,5
29,mlp,1900,w5_features,"{'hidden_mlp': [128, 64, 32]}",19.599999999999998,0.36666666666666664,6,1,13
30,mlp,2000,w5_features,{'hidden_mlp': [32]},19.199999999999996,0.36666666666666664,6,1,11
31,mlp,2000,w5_features,"{'hidden_mlp': [64, 32]}",20.4,0.36666666666666664,6,1,12
32,mlp,2000,w5_features,"{'hidden_mlp': [128, 64, 32]}",21.4,0.35,6,1,12
33,mlp,2100,w5_features,{'hidden_mlp': [32]},18.4,0.38333333333333336,6,1,12
34,mlp,2100,w5_features,"{'hidden_mlp': [64, 32]}",20.99999999999999,0.38333333333333336,6,1,25
35,mlp,2100,w5_features,"{'hidden_mlp': [128, 64, 32]}",21.99999999999999,0.38333333333333336,6,1,30
36,mlp,2200,w5_features,{'hidden_mlp': [32]},19.599999999999998,0.36666666666666664,6,1,8
37,mlp,2200,w5_features,"{'hidden_mlp': [64, 32]}",19.999999999999993,0.38333333333333336,6,1,20
38,mlp,2200,w5_features,"{'hidden_mlp': [128, 64, 32]}",18.400000000000002,0.36666666666666664,6,1,7
39,mlp,2300,w5_features,{'hidden_mlp': [32]},18.4,0.38333333333333336,6,1,12
40,mlp,2300,w5_features,"{'hidden_mlp': [64, 32]}",18.799999999999994,0.38333333333333336,6,1,14
41,mlp,2300,w5_features,"{'hidden_mlp': [128, 64, 32]}",22.799999999999997,0.35,6,1,9
42,mlp,2400,w5_features,{'hidden_mlp': [32]},17.999999999999996,0.38333333333333336,6,1,10
43,mlp,2400,w5_features,"{'hidden_mlp': [64, 32]}",20.4,0.36666666666666664,6,1,12
44,mlp,2400,w5_features,"{'hidden_mlp': [128, 64, 32]}",21.59999999999999,0.38333333333333336,6,1,28
45,mlp,2500,w5_features,{'hidden_mlp': [32]},19.399999999999995,0.38333333333333336,6,1,17
46,mlp,2500,w5_features,"{'hidden_mlp': [64, 32]}",19.399999999999995,0.38333333333333336,6,1,17
47,mlp,2500,w5_features,"{'hidden_mlp': [128, 64, 32]}",23.599999999999998,0.35,6,1,13
48,mlp,2600,w5_features,{'hidden_mlp': [32]},19.599999999999998,0.38333333333333336,6,1,18
49,mlp,2600,w5_features,"{'hidden_mlp': [64, 32]}",23.799999999999997,0.35,6,1,14
50,mlp,2600,w5_features,"{'hidden_mlp': [128, 64, 32]}",20.199999999999996,0.38333333333333336,6,1,21
51,mlp,2700,w5_features,{'hidden_mlp': [32]},16.599999999999998,0.38333333333333336,6,1,3
52,mlp,2700,w5_features,"{'hidden_mlp': [64, 32]}",22.999999999999986,0.38333333333333336,6,1,35
