,model,seed,columns,params,cost,anticipation,detected_faults,missed_faults,false_alarms
0,mlp,1000,w5_features,{'hidden_mlp': [32]},101.00000000000009,0.5,7,0,60
1,mlp,1000,w5_features,"{'hidden_mlp': [64, 32]}",105.4000000000001,0.4714285714285714,7,0,82
2,mlp,1000,w5_features,"{'hidden_mlp': [128, 64, 32]}",147.99999999999983,0.4666666666666667,6,1,90
3,mlp,1100,w5_features,{'hidden_mlp': [32]},120.60000000000004,0.55,6,1,58
4,mlp,1100,w5_features,"{'hidden_mlp': [64, 32]}",144.59999999999994,0.45,6,1,53
5,mlp,1100,w5_features,"{'hidden_mlp': [128, 64, 32]}",163.1999999999998,0.4166666666666667,6,1,111
6,mlp,1200,w5_features,{'hidden_mlp': [32]},100.80000000000007,0.4714285714285714,7,0,54
7,mlp,1200,w5_features,"{'hidden_mlp': [64, 32]}",116.0000000000001,0.4714285714285714,7,0,80
8,mlp,1200,w5_features,"{'hidden_mlp': [128, 64, 32]}",135.40000000000015,0.5333333333333333,6,1,107
9,mlp,1300,w5_features,{'hidden_mlp': [32]},104.4000000000001,0.5,7,0,77
10,mlp,1300,w5_features,"{'hidden_mlp': [64, 32]}",149.99999999999983,0.45,6,1,80
11,mlp,1300,w5_features,"{'hidden_mlp': [128, 64, 32]}",136.40000000000012,0.5333333333333333,6,1,87
12,mlp,1400,w5_features,{'hidden_mlp': [32]},98.40000000000009,0.5,7,0,62
13,mlp,1400,w5_features,"{'hidden_mlp': [64, 32]}",140.0000000000001,0.4833333333333333,6,1,75
14,mlp,1400,w5_features,"{'hidden_mlp': [128, 64, 32]}",154.3999999999998,0.45,6,1,102
15,mlp,1500,w5_features,{'hidden_mlp': [32]},113.60000000000005,0.6166666666666667,6,1,53
16,mlp,1500,w5_features,"{'hidden_mlp': [64, 32]}",137.2000000000001,0.5,6,1,71
17,mlp,1500,w5_features,"{'hidden_mlp': [128, 64, 32]}",141.40000000000015,0.5,6,1,92
18,mlp,1600,w5_features,{'hidden_mlp': [32]},123.80000000000008,0.5666666666666667,6,1,69
19,mlp,1600,w5_features,"{'hidden_mlp': [64, 32]}",147.39999999999986,0.45,6,1,67
20,mlp,1600,w5_features,"{'hidden_mlp': [128, 64, 32]}",131.6000000000001,0.5333333333333333,6,1,83
21,mlp,1700,w5_features,{'hidden_mlp': [32]},125.40000000000009,0.55,6,1,62
22,mlp,1700,w5_features,"{'hidden_mlp': [64, 32]}",119.40000000000012,0.6166666666666667,6,1,77
23,mlp,1700,w5_features,"{'hidden_mlp': [128, 64, 32]}",133.80000000000013,0.5166666666666667,6,1,79
24,mlp,1800,w5_features,{'hidden_mlp': [32]},133.2000000000001,0.5333333333333333,6,1,76
25,mlp,1800,w5_features,"{'hidden_mlp': [64, 32]}",142.2000000000001,0.4666666666666667,6,1,71
26,mlp,1800,w5_features,"{'hidden_mlp': [128, 64, 32]}",134.60000000000008,0.5,6,1,63
27,mlp,1900,w5_features,{'hidden_mlp': [32]},120.80000000000005,0.55,6,1,54
28,mlp,1900,w5_features,"{'hidden_mlp': [64, 32]}",110.0000000000001,0.48571428571428565,7,0,85
29,mlp,1900,w5_features,"{'hidden_mlp': [128, 64, 32]}",137.4000000000001,0.4833333333333333,6,1,62
30,mlp,2000,w5_features,{'hidden_mlp': [32]},136.2000000000001,0.5,6,1,66
31,mlp,2000,w5_features,"{'hidden_mlp': [64, 32]}",127.8000000000001,0.55,6,1,74
32,mlp,2000,w5_features,"{'hidden_mlp': [128, 64, 32]}",148.99999999999994,0.4666666666666667,6,1,95
33,mlp,2100,w5_features,{'hidden_mlp': [32]},131.00000000000006,0.5333333333333333,6,1,60
34,mlp,2100,w5_features,"{'hidden_mlp': [64, 32]}",134.0000000000001,0.5166666666666667,6,1,70
35,mlp,2100,w5_features,"{'hidden_mlp': [128, 64, 32]}",147.3999999999998,0.45,6,1,67
36,mlp,2200,w5_features,{'hidden_mlp': [32]},138.60000000000008,0.4833333333333333,6,1,58
37,mlp,2200,w5_features,"{'hidden_mlp': [64, 32]}",141.0000000000001,0.4833333333333333,6,1,80
38,mlp,2200,w5_features,"{'hidden_mlp': [128, 64, 32]}",146.99999999999986,0.45,6,1,65
39,mlp,2300,w5_features,{'hidden_mlp': [32]},117.00000000000011,0.45714285714285713,7,0,80
40,mlp,2300,w5_features,"{'hidden_mlp': [64, 32]}",108.4000000000001,0.4714285714285714,7,0,77
41,mlp,2300,w5_features,"{'hidden_mlp': [128, 64, 32]}",138.00000000000017,0.5333333333333333,6,1,95
42,mlp,2400,w5_features,{'hidden_mlp': [32]},125.40000000000009,0.55,6,1,62
43,mlp,2400,w5_features,"{'hidden_mlp': [64, 32]}",135.00000000000009,0.5,6,1,65
44,mlp,2400,w5_features,"{'hidden_mlp': [128, 64, 32]}",135.40000000000015,0.5333333333333333,6,1,82
45,mlp,2500,w5_features,{'hidden_mlp': [32]},126.00000000000006,0.5166666666666667,6,1,45
46,mlp,2500,w5_features,"{'hidden_mlp': [64, 32]}",102.8000000000001,0.5142857142857143,7,0,89
47,mlp,2500,w5_features,"{'hidden_mlp': [128, 64, 32]}",147.79999999999984,0.45,6,1,69
48,mlp,2600,w5_features,{'hidden_mlp': [32]},130.80000000000007,0.5166666666666667,6,1,69
49,mlp,2600,w5_features,"{'hidden_mlp': [64, 32]}",92.80000000000005,0.5142857142857143,7,0,54
50,mlp,2600,w5_features,"{'hidden_mlp': [128, 64, 32]}",88.40000000000012,0.5714285714285714,7,0,132
51,mlp,2700,w5_features,{'hidden_mlp': [32]},128.2000000000001,0.5333333333333333,6,1,61
52,mlp,2700,w5_features,"{'hidden_mlp': [64, 32]}",130.60000000000008,0.5333333333333333,6,1,73
53,mlp,2700,w5_features,"{'hidden_mlp': [128, 64, 32]}",153.19999999999982,0.45,6,1,96
54,mlp,2800,w5_features,{'hidden_mlp': [32]},92.00000000000007,0.5285714285714286,7,0,65
55,mlp,2800,w5_features,"{'hidden_mlp': [64, 32]}",149.79999999999984,0.45,6,1,79
56,mlp,2800,w5_features,"{'hidden_mlp': [128, 64, 32]}",150.99999999999974,0.45,6,1,85
57,mlp,2900,w5_features,{'hidden_mlp': [32]},123.00000000000009,0.55,6,1,60
58,mlp,2900,w5_features,"{'hidden_mlp': [64, 32]}",139.8000000000001,0.4833333333333333,6,1,64
59,mlp,2900,w5_features,"{'hidden_mlp': [128, 64, 32]}",135.40000000000012,0.5333333333333333,6,1,82
