,model,seed,columns,params,cost,anticipation,detected_faults,missed_faults,false_alarms
0,mlp,1000,w5_features,{'hidden_mlp': [32]},399.79999999999944,0.0,0,7,74
1,mlp,1000,w5_features,"{'hidden_mlp': [64, 32]}",399.7999999999996,0.0,0,7,74
2,mlp,1000,w5_features,"{'hidden_mlp': [128, 64, 32]}",391.1999999999999,0.0,0,7,31
3,mlp,1100,w5_features,{'hidden_mlp': [32]},282.39999999999924,0.45,4,3,292
4,mlp,1100,w5_features,"{'hidden_mlp': [64, 32]}",398.1999999999996,0.0,0,7,66
5,mlp,1100,w5_features,"{'hidden_mlp': [128, 64, 32]}",386.79999999999995,0.0,0,7,9
6,mlp,1200,w5_features,{'hidden_mlp': [32]},347.79999999999984,0.5,1,6,39
7,mlp,1200,w5_features,"{'hidden_mlp': [64, 32]}",213.19999999999956,0.26666666666666666,6,1,86
8,mlp,1200,w5_features,"{'hidden_mlp': [128, 64, 32]}",389.19999999999993,0.0,0,7,21
9,mlp,1300,w5_features,{'hidden_mlp': [32]},248.9999999999973,0.78,5,2,645
10,mlp,1300,w5_features,"{'hidden_mlp': [64, 32]}",385.2,0.0,0,7,1
11,mlp,1300,w5_features,"{'hidden_mlp': [128, 64, 32]}",387.59999999999997,0.0,0,7,13
12,mlp,1400,w5_features,{'hidden_mlp': [32]},403.59999999999945,0.0,0,7,93
13,mlp,1400,w5_features,"{'hidden_mlp': [64, 32]}",385.6,0.0,0,7,3
14,mlp,1400,w5_features,"{'hidden_mlp': [128, 64, 32]}",260.39999999999867,0.42000000000000004,5,2,397
15,mlp,1500,w5_features,{'hidden_mlp': [32]},405.5999999999995,0.0,0,7,103
16,mlp,1500,w5_features,"{'hidden_mlp': [64, 32]}",393.39999999999975,0.0,0,7,42
17,mlp,1500,w5_features,"{'hidden_mlp': [128, 64, 32]}",386.2,0.0,0,7,6
18,mlp,1600,w5_features,{'hidden_mlp': [32]},410.5999999999993,0.0,0,7,128
19,mlp,1600,w5_features,"{'hidden_mlp': [64, 32]}",385.2,0.0,0,7,1
20,mlp,1600,w5_features,"{'hidden_mlp': [128, 64, 32]}",1396.8000000001805,0.9,7,0,6984
21,mlp,1700,w5_features,{'hidden_mlp': [32]},348.9999999999999,0.7,1,6,80
22,mlp,1700,w5_features,"{'hidden_mlp': [64, 32]}",388.1999999999999,0.0,0,7,16
23,mlp,1700,w5_features,"{'hidden_mlp': [128, 64, 32]}",385.4,0.0,0,7,2
24,mlp,1800,w5_features,{'hidden_mlp': [32]},367.79999999999785,0.22000000000000003,5,2,539
25,mlp,1800,w5_features,"{'hidden_mlp': [64, 32]}",251.7999999999974,0.4714285714285714,7,0,789
26,mlp,1800,w5_features,"{'hidden_mlp': [128, 64, 32]}",387.99999999999994,0.0,0,7,15
