,model,seed,columns,params,cost,anticipation,detected_faults,missed_faults,false_alarms
0,raw_signal,100,Ax,{},197.1999999999995,0.35,6,1,171
1,raw_signal,100,Ax_diff,{},128.00000000000028,0.45714285714285713,7,0,175
2,raw_signal,100,Ax_mean_w5,{},264.1999999999998,0.15,6,1,86
3,raw_signal,100,Ax_std_w5,{},385.2,0.0,0,7,1
4,raw_signal,100,Ax_min_w5,{},217.0,0.21666666666666665,6,1,0
5,raw_signal,100,Ax_max_w5,{},376.19999999999834,0.125,4,3,361
6,raw_signal,100,Ax_mean_w10,{},318.5999999999988,0.13333333333333333,6,1,318
7,raw_signal,100,Ax_std_w10,{},385.2,0.0,0,7,1
8,raw_signal,100,Ax_min_w10,{},217.0,0.21666666666666665,6,1,0
9,raw_signal,100,Ax_max_w10,{},385.2,0.0,0,7,1
10,raw_signal,100,Ax_mean_w15,{},362.7999999999987,0.03333333333333333,6,1,279
11,raw_signal,100,Ax_std_w15,{},385.2,0.0,0,7,1
12,raw_signal,100,Ax_min_w15,{},217.0,0.21666666666666665,6,1,0
13,raw_signal,100,Ax_max_w15,{},385.99999999999994,0.0,0,7,5
14,raw_signal,100,Ax_mean_w20,{},385.2,0.0,0,7,1
15,raw_signal,100,Ax_std_w20,{},385.2,0.0,0,7,1
16,raw_signal,100,Ax_min_w20,{},217.0,0.21666666666666665,6,1,0
17,raw_signal,100,Ax_max_w20,{},385.2,0.0,0,7,1
18,raw_signal,100,differencing_Ax,{},139.6000000000006,0.5428571428571429,7,0,378
19,raw_signal,100,differencing_Ax_diff,{},124.00000000000038,0.5285714285714286,7,0,255
20,raw_signal,100,differencing_Ax_mean_w5,{},209.39999999999884,0.4,6,1,317
21,raw_signal,100,differencing_Ax_std_w5,{},280.5999999999982,0.65,4,3,418
22,raw_signal,100,differencing_Ax_min_w5,{},169.5999999999995,0.4833333333333333,6,1,213
23,raw_signal,100,differencing_Ax_max_w5,{},190.99999999999926,0.37142857142857144,7,0,280
24,raw_signal,100,differencing_Ax_mean_w10,{},235.59999999999957,0.23333333333333334,6,1,133
25,raw_signal,100,differencing_Ax_std_w10,{},335.9999999999989,0.7,2,5,270
26,raw_signal,100,differencing_Ax_min_w10,{},176.79999999999967,0.35,6,1,69
27,raw_signal,100,differencing_Ax_max_w10,{},285.9999999999988,0.6666666666666667,3,4,220
28,raw_signal,100,differencing_Ax_mean_w15,{},249.7999999999994,0.23333333333333334,6,1,204
29,raw_signal,100,differencing_Ax_std_w15,{},370.39999999999935,0.5,1,6,152
30,raw_signal,100,differencing_Ax_min_w15,{},177.79999999999976,0.35,6,1,74
31,raw_signal,100,differencing_Ax_max_w15,{},321.59999999999945,0.4,2,5,78
32,raw_signal,100,differencing_Ax_mean_w20,{},243.99999999999963,0.2,6,1,100
33,raw_signal,100,differencing_Ax_std_w20,{},385.2,0.0,0,7,1
34,raw_signal,100,differencing_Ax_min_w20,{},187.7999999999995,0.35,6,1,124
35,raw_signal,100,differencing_Ax_max_w20,{},344.7999999999945,0.5,5,2,884
36,raw_signal,200,Ax,{},197.1999999999995,0.35,6,1,171
37,raw_signal,200,Ax_diff,{},128.00000000000028,0.45714285714285713,7,0,175
38,raw_signal,200,Ax_mean_w5,{},264.1999999999998,0.15,6,1,86
39,raw_signal,200,Ax_std_w5,{},385.2,0.0,0,7,1
40,raw_signal,200,Ax_min_w5,{},217.0,0.21666666666666665,6,1,0
41,raw_signal,200,Ax_max_w5,{},376.19999999999834,0.125,4,3,361
42,raw_signal,200,Ax_mean_w10,{},318.5999999999988,0.13333333333333333,6,1,318
43,raw_signal,200,Ax_std_w10,{},385.2,0.0,0,7,1
44,raw_signal,200,Ax_min_w10,{},217.0,0.21666666666666665,6,1,0
45,raw_signal,200,Ax_max_w10,{},385.2,0.0,0,7,1
46,raw_signal,200,Ax_mean_w15,{},362.7999999999987,0.03333333333333333,6,1,279
47,raw_signal,200,Ax_std_w15,{},385.2,0.0,0,7,1
48,raw_signal,200,Ax_min_w15,{},217.0,0.21666666666666665,6,1,0
49,raw_signal,200,Ax_max_w15,{},385.99999999999994,0.0,0,7,5
50,raw_signal,200,Ax_mean_w20,{},385.2,0.0,0,7,1
51,raw_signal,200,Ax_std_w20,{},385.2,0.0,0,7,1
